user_id,user_name,user_contact,city_id,user_address
64,"Ir. Salsabila Irawan, S.IP",082 139 5649,2,"Gg. Jamika No. 8
Mataram, DKI Jakarta 81912"
65,Ir. Hasna Hutapea,+62 (28) 893 1838,10,"Gang Joyoboyo No. 7
Langsa, SS 45361"
66,Sutan Jaswadi Sitompul,+62-58-888-5033,3,"Gg. Cikutra Barat No. 1
Sawahlunto, Aceh 08072"
67,Kurnia Suartini,(0077) 949-2162,9,"Gang Setiabudhi No. 62
Batu, ST 75091"
68,R.A. Almira Hariyah,+62 (096) 875 3281,8,"Jalan M.H Thamrin No. 926
Depok, Kalimantan Tengah 89322"
69,"Melinda Maulana, S.I.Kom",+62 (014) 891-9271,10,"Gg. Joyoboyo No. 9
Bontang, JI 74282"
70,Kamaria Setiawan,+62-35-750-2979,6,"Gg. Pacuan Kuda No. 4
Bekasi, GO 11045"
71,"Dr. Okto Prasetyo, S.Ked",(0283) 907-0010,2,"Gg. Surapati No. 83
Depok, KB 98113"
72,Titin Situmorang,+62-061-133-6230,9,"Gg. Otto Iskandardinata No. 571
Kota Administrasi Jakarta Barat, Maluku Utara 06486"
73,Jayeng Pratama,(098) 206-9464,8,"Jl. Suniaraja No. 11
Kota Administrasi Jakarta Utara, KI 69233"
74,Gilda Simanjuntak,+62 (27) 101-9603,4,"Jl. Cihampelas No. 12
Samarinda, GO 67575"
75,"dr. Nabila Sihombing, M.Pd",0837851401,8,"Jl. Waringin No. 2
Tual, YO 03822"
76,Alika Usada,(097) 327 3068,10,"Gg. Otto Iskandardinata No. 7
Ambon, JK 84655"
77,Samsul Permata,+62 (065) 858-6460,5,"Jl. PHH. Mustofa No. 108
Batam, Sulawesi Tenggara 60161"
78,Mulyono Ramadan,+62-54-770-6745,6,"Gg. Sukajadi No. 1
Bekasi, RI 26779"
79,Halima Nuraini,0867975458,8,"Jl. Pasteur No. 196
Denpasar, Sumatera Utara 27000"
80,Irwan Haryanto,+62-0062-055-6558,10,"Jalan Rumah Sakit No. 5
Metro, Kepulauan Riau 41638"
81,Umi Wijaya,(0669) 784-7745,8,"Jalan Gardujati No. 8
Lubuklinggau, KS 39129"
82,Gasti Novitasari,0893146750,6,"Gang Stasiun Wonokromo No. 2
Lubuklinggau, Sulawesi Barat 83870"
83,"Sutan Karma Wastuti, M.Ak",(035) 910-6706,8,"Jalan Rajawali Barat No. 867
Yogyakarta, Sulawesi Tengah 24853"
84,Timbul Kuswoyo,(059) 369-9415,6,"Jl. Sadang Serang No. 658
Tangerang Selatan, SU 61597"
85,Warji Dongoran,+62 (036) 812 9257,2,"Gg. Jakarta No. 55
Kota Administrasi Jakarta Utara, SS 92845"
86,"Cinta Marpaung, S.Sos",+62-0507-364-6627,4,"Gang Ronggowarsito No. 02
Kota Administrasi Jakarta Barat, JB 37491"
87,Reza Narpati,0866626877,8,"Gang Dipatiukur No. 124
Sungai Penuh, JT 93018"
88,Siti Handayani,+62-71-829-4970,8,"Jalan Tebet Barat Dalam No. 92
Jayapura, Jawa Timur 30460"
89,Syahrini Narpati,+62 (0606) 981-6955,1,"Gg. Sentot Alibasa No. 70
Balikpapan, SN 16421"
90,"Lamar Pertiwi, S.Ked",+62-930-220-3736,10,"Jalan Sadang Serang No. 78
Pontianak, KS 72992"
91,Hasim Haryanti,(0655) 103 0153,4,"Gang Medokan Ayu No. 05
Palopo, DI Yogyakarta 60615"
92,Lanjar Wastuti,+62 (54) 675-5869,10,"Gang Jamika No. 598
Pasuruan, Aceh 50542"
93,"Empluk Haryanto, S.E.",+62 (099) 588 6239,2,"Jl. Kutai No. 1
Batam, Papua 06757"
94,"Tgk. Ibrani Pudjiastuti, M.Kom.",(070) 028-3661,2,"Jalan Kendalsari No. 208
Sukabumi, Banten 48520"
95,KH. Rafi Farida,+62 (074) 269-8026,3,"Gg. Otto Iskandardinata No. 579
Purwokerto, ST 09600"
96,Jumadi Jailani,(0844) 915-2601,3,"Gang Surapati No. 4
Kotamobagu, Gorontalo 18554"
97,"Bella Anggraini, S.Psi",+62 (145) 442 2131,8,"Jalan Joyoboyo No. 81
Banjarbaru, Sulawesi Selatan 67530"
98,Amalia Purwanti,+62-0353-303-4032,5,"Gang Tubagus Ismail No. 9
Banjarmasin, DI Yogyakarta 07284"
99,"Hj. Calista Hutapea, M.TI.",(031) 231 3006,4,"Jl. Joyoboyo No. 06
Kota Administrasi Jakarta Barat, SG 20894"
100,Tgk. Caraka Lestari,+62 (080) 542-6742,4,"Gg. Raya Ujungberung No. 6
Banjarmasin, JB 87591"
101,"Sutan Rizki Saputra, S.Pt",+62-030-643-0600,4,"Jl. Cikutra Timur No. 1
Solok, SU 38018"
102,Humaira Maheswara,+62 (206) 162-4168,7,"Gang W.R. Supratman No. 748
Bekasi, Maluku 94081"
103,Kamal Prasetyo,+62 (0566) 560-0526,3,"Jalan Jend. Sudirman No. 8
Singkawang, SG 69813"
104,Wardi Hidayat,+62 (016) 891-3432,7,"Gang Abdul Muis No. 85
Magelang, SU 42939"
105,Niyaga Laksita,+62 (0055) 252-2042,4,"Jl. Pacuan Kuda No. 6
Tasikmalaya, DKI Jakarta 33521"
106,"Dt. Among Padmasari, S.Gz",+62 (966) 984-6875,6,"Jl. Pasir Koja No. 7
Cimahi, MU 11867"
107,Atmaja Manullang,+62 (0972) 711 7106,8,"Jalan Ciumbuleuit No. 72
Kota Administrasi Jakarta Timur, DKI Jakarta 18164"
108,"Imam Thamrin, S.Gz",(0878) 798-9439,3,"Jl. Tebet Barat Dalam No. 22
Surakarta, Sulawesi Tenggara 73041"
109,"Dr. Zelaya Uyainah, S.Farm",(002) 676 7330,2,"Jalan Rawamangun No. 0
Palopo, JT 89315"
110,"Ir. Icha Nugroho, S.Pt",+62 (0135) 702-3556,2,"Jl. Medokan Ayu No. 144
Surakarta, SR 32689"
111,"R. Warji Haryanti, S.T.",+62 (067) 562-3705,6,"Gang Rajawali Barat No. 93
Subulussalam, KR 93996"
112,"Eka Rahimah, S.Pd",(078) 764-8181,3,"Jalan Moch. Toha No. 286
Ambon, Jawa Barat 10874"
113,"Victoria Narpati, M.Ak",+62-0122-105-0952,5,"Gang Indragiri No. 753
Tanjungbalai, KR 13287"
114,Cayadi Utama,+62 (27) 783 6440,4,"Jl. Kapten Muslihat No. 44
Sorong, Jawa Tengah 16972"
115,"dr. Jane Namaga, M.Pd",+62-096-172-3661,2,"Jalan Gegerkalong Hilir No. 81
Mataram, PA 16208"
116,Ir. Perkasa Wacana,0844498183,1,"Gang Rawamangun No. 29
Tomohon, Nusa Tenggara Timur 70332"
117,"Galar Ardianto, S.Ked",0847905983,10,"Gg. Indragiri No. 05
Cimahi, KI 78329"
118,KH. Danu Suwarno,+62 (08) 385 5068,3,"Jl. Pelajar Pejuang No. 56
Serang, PB 80808"
119,Lidya Hidayat,+62 (058) 013 0424,5,"Gg. Laswi No. 535
Pangkalpinang, Riau 27272"
120,Karman Tarihoran,(032) 864 8156,3,"Jl. W.R. Supratman No. 933
Sungai Penuh, JI 21578"
121,Vanya Dabukke,+62 (463) 676 4527,10,"Gg. Sentot Alibasa No. 66
Tasikmalaya, Bengkulu 98996"
122,Gamani Mandasari,0872713349,1,"Gang Otto Iskandardinata No. 2
Palopo, KT 36377"
123,Clara Manullang,+62-0242-067-8843,4,"Gang Sukajadi No. 0
Tomohon, RI 99492"
124,Sakura Sirait,+62 (433) 463-8442,4,"Jl. Astana Anyar No. 782
Meulaboh, DI Yogyakarta 68030"
125,Fitriani Dongoran,+62-58-523-0631,2,"Jl. Kapten Muslihat No. 79
Batam, GO 21708"
126,Iriana Lailasari,+62-806-734-9126,5,"Jalan Suniaraja No. 33
Palembang, BT 43304"
127,Karsa Sudiati,+62-368-073-8797,8,"Gang Rajawali Timur No. 612
Tidore Kepulauan, SU 94631"
128,Zamira Purnawati,(0730) 668 3503,10,"Gg. Setiabudhi No. 2
Bandar Lampung, Banten 74258"
129,"T. Kusuma Widodo, S.T.",085 866 4548,7,"Jl. R.E Martadinata No. 97
Samarinda, KR 47539"
130,Shania Gunarto,(099) 643 7784,5,"Jalan Raya Setiabudhi No. 5
Kupang, SU 03840"
131,Mumpuni Marbun,+62-0979-530-5459,1,"Gg. Kutisari Selatan No. 4
Tebingtinggi, KS 38246"
132,Dewi Pudjiastuti,+62 (62) 056 1983,5,"Gang Wonoayu No. 10
Kendari, Sulawesi Tenggara 98659"
133,"Sari Zulaika, M.Kom.",+62 (843) 099-8481,6,"Gang W.R. Supratman No. 431
Bekasi, Lampung 35842"
134,"Tira Sihombing, M.Farm",088 558 4192,9,"Jalan Dr. Djunjunan No. 21
Bitung, SU 13565"
135,"R.M. Ibrani Usamah, S.IP",+62-52-853-1370,4,"Gang Ir. H. Djuanda No. 751
Pariaman, SU 17807"
136,Hesti Nugroho,(0821) 007-4615,7,"Gang Moch. Toha No. 5
Meulaboh, Jawa Timur 54989"
137,Edi Rajata,+62-134-734-8643,7,"Gg. Rajiman No. 9
Padang Sidempuan, Sulawesi Utara 51096"
138,Cornelia Farida,+62-62-398-5901,2,"Gg. Raya Setiabudhi No. 708
Banjar, SB 10078"
139,Devi Pradipta,088 725 4509,4,"Jl. Tubagus Ismail No. 2
Gorontalo, Nusa Tenggara Timur 95079"
140,Okto Rahayu,+62-12-957-0492,3,"Jl. Asia Afrika No. 65
Ternate, Aceh 51858"
141,Laksana Uyainah,+62 (891) 926-8845,1,"Gg. Kendalsari No. 9
Bandung, Jawa Barat 77804"
142,Rahman Dabukke,+62 (13) 112 8066,7,"Gg. Otto Iskandardinata No. 423
Palu, Sulawesi Utara 32313"
143,Puti Pia Sudiati,(0025) 537 0380,3,"Gg. Rajiman No. 82
Depok, Jawa Tengah 16809"
144,"Ibrahim Sihombing, S.Sos",0856474263,1,"Jl. Erlangga No. 297
Kota Administrasi Jakarta Selatan, KB 42881"
145,Puti Shakila Nurdiyanti,+62 (77) 887 2091,3,"Jalan Kendalsari No. 5
Kupang, Bali 63199"
146,dr. Dian Agustina,0888377973,8,"Gg. Pasteur No. 9
Dumai, KB 35748"
147,Lutfan Rajasa,+62 (60) 498 9950,7,"Jl. Setiabudhi No. 7
Pariaman, Kalimantan Selatan 34300"
148,Opan Rajasa,+62 (0235) 108-5273,4,"Jalan Dipenogoro No. 1
Subulussalam, JT 40766"
149,Dt. Jasmani Iswahyudi,(0030) 601-1600,9,"Gang Monginsidi No. 9
Padangpanjang, Kalimantan Selatan 81794"
150,Latif Usada,(015) 775 0410,5,"Jl. Jamika No. 469
Jambi, SR 88950"
151,Dono Yuniar,+62 (569) 192 9203,7,"Jl. Sadang Serang No. 73
Lubuklinggau, Jawa Timur 17443"
152,Widya Hutasoit,+62-96-317-6650,10,"Jalan Cikapayang No. 3
Cilegon, JT 61902"
153,Cahyono Maheswara,+62 (054) 964-3443,8,"Jalan Kendalsari No. 830
Bengkulu, YO 55929"
154,R. Ulva Sitorus,+62 (024) 630-2794,2,"Jalan Ronggowarsito No. 885
Banda Aceh, SU 75009"
155,"KH. Respati Pradana, S.Pd",+62 (576) 011-5514,3,"Jalan M.H Thamrin No. 2
Kota Administrasi Jakarta Barat, SG 58178"
156,Maras Handayani,+62-0730-758-5145,4,"Gang Gardujati No. 9
Bima, SG 63354"
157,Chelsea Rahimah,+62-0952-439-1900,7,"Gg. Gardujati No. 4
Balikpapan, Kepulauan Riau 60562"
158,R. Kamila Saptono,+62 (13) 119-8019,6,"Gg. Suryakencana No. 9
Samarinda, ST 18892"
159,"Juli Nuraini, M.TI.",+62-018-968-5936,6,"Gang Rajawali Barat No. 40
Bekasi, MA 63930"
160,Artawan Wasita,(046) 537 4223,5,"Gg. Tubagus Ismail No. 010
Padangpanjang, JT 66507"
161,Makara Zulkarnain,+62 (417) 170 4072,7,"Gg. Dipatiukur No. 33
Ambon, MA 63422"
162,"R.A. Ina Nasyidah, S.Farm",(038) 837-7567,8,"Jalan Antapani Lama No. 60
Binjai, Sumatera Utara 20637"
163,"drg. Zelda Yuliarti, S.Ked",(087) 584 6474,5,"Gang Moch. Ramdan No. 6
Palu, MU 78944"
164,Ana Permata,(0172) 823 0307,1,"Jl. Jakarta No. 33
Kediri, Nusa Tenggara Timur 17270"
165,Violet Rahayu,+62-817-106-5455,2,"Jl. Raya Setiabudhi No. 7
Parepare, JI 99553"
166,Mursinin Wahyudin,+62 (446) 993 2119,2,"Gg. Suniaraja No. 13
Payakumbuh, ST 03160"
167,Rudi Yolanda,+62 (0697) 230 9523,6,"Jl. BKR No. 381
Pariaman, Bengkulu 89804"
168,Devi Lailasari,+62-99-667-6051,8,"Gg. Ahmad Yani No. 6
Binjai, Papua 25008"
169,Kayla Laksmiwati,+62 (78) 541 9619,3,"Gg. Otto Iskandardinata No. 2
Pasuruan, JK 65516"
170,"R.M. Ismail Maryadi, M.Ak",(096) 910 9987,5,"Jl. Surapati No. 21
Tebingtinggi, KS 91730"
171,Sari Santoso,(0983) 668 0526,2,"Jalan Dipenogoro No. 1
Surabaya, NB 72593"
172,Halima Palastri,084 335 9723,2,"Jl. Cihampelas No. 830
Denpasar, SB 25260"
173,"Puti Zulaikha Hardiansyah, S.IP",+62 (31) 776 4034,2,"Jl. Kendalsari No. 08
Surabaya, GO 80464"
174,Halima Irawan,(050) 699 8469,10,"Gang Jend. Sudirman No. 61
Kota Administrasi Jakarta Barat, Gorontalo 85375"
175,Tirta Yolanda,0820893016,9,"Gang Ahmad Dahlan No. 1
Kediri, Kalimantan Utara 04445"
176,Koko Kuswoyo,+62 (006) 239-4735,5,"Jalan KH Amin Jasuta No. 231
Serang, Sumatera Barat 88496"
177,Gilda Suryono,(014) 353 7872,7,"Gang Merdeka No. 079
Padangpanjang, DKI Jakarta 07882"
178,Prabu Narpati,+62-0624-727-8754,7,"Jalan Dr. Djunjunan No. 400
Surakarta, Sulawesi Utara 21837"
179,Paris Nurdiyanti,+62 (212) 529 2922,5,"Jalan Gedebage Selatan No. 469
Lhokseumawe, Kalimantan Tengah 25792"
180,"Baktianto Zulaika, S.Sos",+62 (0955) 316-4584,10,"Jl. Gegerkalong Hilir No. 91
Mojokerto, Kalimantan Timur 47308"
181,Caket Prasasta,(029) 939 3834,10,"Gang Siliwangi No. 82
Palangkaraya, Gorontalo 72599"
182,Raina Utama,(022) 649 9091,1,"Jalan HOS. Cokroaminoto No. 62
Bengkulu, YO 03785"
183,Lalita Sirait,+62-058-343-0418,10,"Jalan Pelajar Pejuang No. 0
Pematangsiantar, KB 84775"
184,Drs. Yulia Sihotang,+62 (01) 641 2785,10,"Gg. Cikutra Timur No. 2
Denpasar, Sumatera Selatan 78711"
185,Malika Suwarno,0866626465,4,"Jalan R.E Martadinata No. 911
Samarinda, BB 51333"
186,Elon Prasetya,+62 (57) 258 6748,5,"Jl. Pasteur No. 9
Pasuruan, Sulawesi Utara 43313"
187,Ir. Ida Megantara,+62 (063) 700-6111,6,"Gang Sukajadi No. 33
Pematangsiantar, SN 48052"
188,Sutan Gaiman Halimah,+62 (304) 713-3715,2,"Jl. M.H Thamrin No. 3
Tebingtinggi, KS 63955"
189,"dr. Nyoman Siregar, S.Pt",(098) 662 6847,8,"Jalan Waringin No. 3
Jambi, DI Yogyakarta 48159"
190,Yuni Latupono,+62 (615) 584-7875,2,"Gang Wonoayu No. 191
Kota Administrasi Jakarta Timur, JT 65892"
191,Usman Sitorus,+62 (008) 326-5000,3,"Jalan BKR No. 730
Manado, Sulawesi Selatan 92279"
192,Uchita Oktaviani,0856550048,4,"Jl. Tubagus Ismail No. 262
Lubuklinggau, KU 54209"
193,Maras Hidayat,+62 (056) 851-4309,7,"Gg. Ciwastra No. 76
Tegal, Banten 53845"
194,"Ir. Johan Hasanah, S.T.",+62 (077) 749-0189,10,"Gang Setiabudhi No. 75
Malang, SS 92015"
195,Bakianto Napitupulu,+62 (791) 912 1115,1,"Gg. Sukabumi No. 89
Bengkulu, Sumatera Selatan 92373"
196,Zulfa Wacana,(063) 437 7600,7,"Jl. Asia Afrika No. 1
Jambi, Gorontalo 84712"
197,Rina Rahayu,+62-37-285-0244,2,"Jalan Soekarno Hatta No. 62
Prabumulih, KT 22472"
198,"Lalita Puspasari, M.M.",+62-410-728-9880,3,"Jl. Surapati No. 144
Probolinggo, YO 01889"
199,"Kayun Rajasa, S.T.",+62 (51) 476-6638,1,"Gang Cihampelas No. 135
Tebingtinggi, Jawa Timur 04975"
200,KH. Wardaya Hutagalung,+62-0532-058-6098,5,"Gang Abdul Muis No. 99
Pekalongan, Maluku Utara 98033"
201,"Jasmin Wastuti, S.I.Kom",(0317) 535 4482,1,"Jl. Ronggowarsito No. 58
Banjar, Jawa Tengah 59441"
202,"Anita Suryatmi, M.Pd",+62 (06) 393 4482,9,"Gg. Ciumbuleuit No. 4
Kupang, KT 32108"
203,Harja Sirait,(039) 277-1189,6,"Gg. Soekarno Hatta No. 85
Metro, JA 65422"
204,Balapati Maulana,+62-0050-986-2714,2,"Jalan Pasir Koja No. 88
Tebingtinggi, Nusa Tenggara Timur 19662"
205,Farah Riyanti,+62 (005) 994 3827,10,"Gang Siliwangi No. 429
Bandar Lampung, KS 72482"
206,Dacin Rajasa,(0904) 204-6749,3,"Jl. Dipatiukur No. 668
Pariaman, SU 15777"
207,"Asirwada Damanik, S.Psi",(0875) 980-1240,8,"Jl. Suryakencana No. 3
Probolinggo, SB 74653"
208,Lasmanto Hariyah,+62 (0696) 500-7656,2,"Gang Setiabudhi No. 85
Pasuruan, MU 04816"
209,Raditya Mustofa,+62-0841-778-8292,2,"Gang Suniaraja No. 64
Balikpapan, DI Yogyakarta 51138"
210,Dr. Ajeng Tampubolon,+62 (855) 998 9266,2,"Jalan M.H Thamrin No. 300
Binjai, DI Yogyakarta 73785"
211,"Ami Maheswara, S.Sos",+62-031-446-5305,3,"Jalan BKR No. 95
Kota Administrasi Jakarta Pusat, Maluku Utara 28318"
212,"R. Salsabila Maulana, M.Ak",+62-564-730-0485,3,"Jalan Rungkut Industri No. 4
Batam, ST 40094"
213,Hani Aryani,(0925) 457 2922,10,"Gang Sentot Alibasa No. 868
Prabumulih, Sulawesi Tenggara 12309"
214,"R.M. Bambang Waskita, S.Gz",(0851) 231 4754,2,"Gg. Rajawali Barat No. 10
Palopo, Kalimantan Utara 30340"
215,Maida Puspita,(087) 526 2259,5,"Gg. Moch. Ramdan No. 464
Sorong, KI 99892"
216,Shania Zulkarnain,+62 (46) 016-4668,8,"Jl. Cihampelas No. 08
Banjarmasin, Sulawesi Tengah 67788"
217,Ami Hidayanto,0876819422,10,"Jalan Rajawali Timur No. 28
Padang Sidempuan, Riau 01780"
218,Halima Waskita,(048) 671-8870,9,"Jalan Erlangga No. 8
Sukabumi, Sulawesi Tengah 16805"
219,Luthfi Wijayanti,+62 (093) 341 4742,2,"Gg. Lembong No. 91
Parepare, Sulawesi Selatan 53962"
220,T. Rendy Mayasari,+62 (352) 266-6081,7,"Jl. R.E Martadinata No. 77
Yogyakarta, Riau 16549"
221,Cakrabirawa Dongoran,+62 (0793) 333-8428,5,"Gg. Erlangga No. 298
Purwokerto, JK 14163"
222,Usyi Farida,+62-58-886-1769,4,"Jalan Dipenogoro No. 8
Tidore Kepulauan, KS 57970"
223,"Kamaria Mansur, M.Farm",+62 (0852) 083-6015,6,"Jl. Bangka Raya No. 643
Lhokseumawe, KI 64205"
224,Mila Halimah,0864622359,4,"Jalan Cikutra Barat No. 42
Kota Administrasi Jakarta Utara, JT 27877"
225,Waluyo Prakasa,(0780) 359 8784,9,"Jalan Kapten Muslihat No. 99
Cirebon, LA 47361"
226,"Ir. Ellis Sudiati, S.Ked",+62-63-497-6682,10,"Gang BKR No. 28
Cirebon, Papua 51509"
227,Carla Kuswoyo,+62 (655) 332-1251,3,"Gg. Sentot Alibasa No. 611
Bekasi, Maluku 92432"
228,Ihsan Kurniawan,(0169) 895 3308,9,"Gang Ir. H. Djuanda No. 67
Ambon, Kepulauan Bangka Belitung 68482"
229,Maya Ramadan,+62 (58) 520 3521,4,"Gg. Laswi No. 053
Samarinda, Sulawesi Tengah 35977"
230,Hj. Zizi Purwanti,+62 (0358) 716 7747,8,"Gang Bangka Raya No. 71
Semarang, Jambi 84630"
